country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Guinea,,,,,,,,,,,,,,,,5.34,4.41,3.68,3.11,3.95,3.81,4.43,4.12,3.8,5.2,,,,4.44,,5.99,6.97,,10.8,12.1,14.7,17.3,22.4,,26.2,28,25.5,30,29.2,29,,,,
Guinea-Bissau,,,,,,,,,1.47,0.487,,0.67,1.54,0.635,2.59,2.1,,1.71,,3.65,,,,,,,,,,,9.1,,,,,,,,,,28.2,,,,,,,,
Guyana,,52.4,45.4,45.9,47,,50.5,,79.4,73,75,,,,,,,77.4,,,,83,74.1,73.8,,,76.1,76.6,,75.6,93.4,77.2,,,,,,,75.9,76.7,85.4,,,,,,,,
Haiti,,,,,,,,6.68,8.27,9.56,9.87,11.8,12,14.3,,17.1,14.9,16.4,17.4,18.4,18.6,18.8,,,,,,23.9,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.2,,52.4,,,,,51.3,43,54.2,,51.8,,
Hungary,,,,,,,85.6,91.1,96.8,98,95.1,96.6,101,96.8,95.4,90.8,90.9,91.8,101,111,102,,,,,,,90.9,,,,,,,,,,,,,,,,93.3,92.5,94.7,93.9,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.6,98.6,93.3,94.4,92.2,97.2,109,107,108,96,,98,92.9,91.8,96,,,,,,
India,,,,,,,,,,,,,,,,,,29.8,31.1,31.2,,,,,,,,,,,,,45.9,51,,,58.2,,65.3,,,75.4,,83.4,88.2,88.1,88.7,87.6,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,47.4,,,,,,,70.1,73.6,75.2,70.7,72.1,79,73,82.1,85.7,88.2,85.4,85.3,,98.5,96.6,93.3,
Iran,,,,,,,,,,,,,,,,,,37.5,40.5,41.3,47.3,46.8,,58,65,,,,,,78.1,74.8,72.8,80,,,84.7,,88.5,90.3,87.3,91.8,96.5,,,,94.2,94.3,
